Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18846853,00000118,false,Rx,0,8,57,04,22,18,00,00,00,00,
18846863,000002E5,false,Rx,0,8,00,00,03,0D,00,00,DD,00,
18846872,000001A5,false,Rx,0,3,E5,02,00,00,00,00,00,00,
18846881,00000195,false,Rx,0,5,00,08,08,00,28,00,00,00,
18846890,00000752,false,Rx,0,8,04,A4,2B,0C,FA,7F,53,01,
18846900,0000027A,false,Rx,0,2,C9,0F,00,00,00,00,00,00,
18846910,00000396,false,Rx,0,8,01,32,32,38,31,12,19,7D,
18846920,00000186,false,Rx,0,8,8E,07,00,00,00,00,00,00,
18846929,000006D4,false,Rx,0,8,0A,01,0D,32,FC,00,09,00,
18846938,000006D4,false,Rx,0,8,0B,00,1C,46,00,00,00,00,
18846948,000006D4,false,Rx,0,8,0D,00,00,00,35,8E,6F,5C,
18846957,00000129,false,Rx,0,8,18,26,37,5F,00,20,FF,3F,
18846967,000006D4,false,Rx,0,8,11,00,00,00,00,00,00,00,
18846976,000001D8,false,Rx,0,8,21,00,00,00,00,00,C0,BA,
18846985,00000288,false,Rx,0,8,83,18,06,00,80,27,80,52,
18846995,00000300,false,Rx,0,8,12,5F,80,5C,88,84,CD,CA,
18847004,00000312,false,Rx,0,8,00,44,7E,72,33,A2,A9,15,
18847013,000002C1,false,Rx,0,8,84,A6,92,01,64,A1,08,AE,
18847023,00000332,false,Rx,0,6,2D,1E,89,07,52,29,00,00,
18847032,00000352,false,Rx,0,8,F1,FA,B6,DB,6E,32,89,00,
18847042,000003B2,false,Rx,0,8,90,FA,DF,00,38,E5,E3,00,
18847051,000001D5,false,Rx,0,8,21,00,00,00,00,00,20,17,
18847060,000002E1,false,Rx,0,8,02,00,00,00,00,00,01,00,
18847070,0000024A,false,Rx,0,1,03,00,00,00,00,00,00,00,
18847079,00000379,false,Rx,0,8,6B,47,96,80,A1,99,05,01,
18847088,000003D2,false,Rx,0,8,94,7F,30,00,84,8F,32,00,
18847097,000003F2,false,Rx,0,8,00,B1,70,25,00,00,00,00,
18847141,00000421,false,Rx,0,7,00,00,00,00,04,00,00,00,
18847151,00000213,false,Rx,0,2,B0,C5,00,00,00,00,00,00,
18847160,00000272,false,Rx,0,8,0C,00,1A,42,10,90,0C,10,
18847169,00000082,false,Rx,0,8,00,00,00,80,00,80,00,80,
18847179,000006D4,false,Rx,0,8,12,16,48,B4,7A,66,41,FD,
18847188,0000078A,false,Rx,0,8,01,00,05,00,00,00,6A,06,
18847198,000006D4,false,Rx,0,8,13,03,00,00,00,00,00,00,
