Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18598064,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18598317,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18598556,00000545,false,Rx,0,8,03,19,64,32,19,00,B0,C5,
18608062,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18608315,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18618064,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18618307,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18628057,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18628310,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18638070,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18638313,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18648063,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18648317,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18648577,00000545,false,Rx,0,8,14,00,3F,70,9F,01,CA,77,
18648753,00000333,false,Rx,0,4,04,30,29,07,00,00,00,00,
18648971,000002B2,false,Rx,0,5,00,00,00,00,00,00,00,00,
18649209,000003A1,false,Rx,0,8,09,62,78,9D,08,2C,12,5A,
18649468,00000321,false,Rx,0,8,2C,B6,A8,7F,02,7F,00,00,
18649717,0000025D,false,Rx,0,8,D9,8C,01,B5,4A,C1,0A,E0,
18649904,0000023D,false,Rx,0,4,40,00,00,00,00,00,00,00,
18650154,0000021D,false,Rx,0,8,5D,20,00,20,80,00,60,10,
18650413,0000020A,false,Rx,0,8,F6,15,09,82,18,01,00,00,
18650661,00000212,false,Rx,0,8,B9,1C,94,AD,C1,15,36,6B,
18658065,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18658308,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18668057,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18668310,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18678061,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18678315,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18688063,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18688317,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18688792,00000504,false,Rx,0,8,00,1B,05,03,00,01,00,01,
18698060,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18698303,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18698532,00000545,false,Rx,0,8,03,19,64,32,19,00,D0,E5,
18708067,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18708310,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18718062,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18718305,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18728056,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18728299,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18738069,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18738302,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
18749150,0000022A,false,Rx,0,4,00,00,70,18,00,00,00,00,
18749394,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
18749642,00000545,false,Rx,0,8,14,00,3F,70,9F,01,EA,97,
