Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4285406728,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285406983,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285416721,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285416975,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285426733,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285426977,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285436726,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285436980,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285446721,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285446976,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285447234,00000545,false,Rx,0,8,14,00,3F,70,9F,01,6A,17,
4285447411,00000333,false,Rx,0,4,04,30,29,07,00,00,00,00,
4285447620,000002B2,false,Rx,0,5,C8,00,00,05,78,00,00,00,
4285447868,000003A1,false,Rx,0,8,09,62,78,9D,08,2C,12,5A,
4285448116,00000321,false,Rx,0,8,2C,B6,A8,7F,02,7F,00,00,
4285448366,0000025D,false,Rx,0,8,D9,8C,01,B5,4A,C1,0A,E0,
4285448553,0000023D,false,Rx,0,4,0A,40,FF,00,00,00,00,00,
4285448811,0000021D,false,Rx,0,8,2D,20,00,20,80,00,60,10,
4285449061,00000232,false,Rx,0,8,0A,02,D5,09,CB,04,00,00,
4285449279,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
4285449527,00000212,false,Rx,0,8,B9,1C,94,AD,C3,15,06,63,
4285456738,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285456981,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285466732,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285466975,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285476724,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285476977,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285486717,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285486970,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285487424,00000504,false,Rx,0,8,00,1B,05,03,00,01,00,01,
4285496734,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285496977,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285497205,00000545,false,Rx,0,8,03,19,64,32,19,00,70,85,
4285506730,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285506963,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285516722,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285516965,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285526727,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285526970,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285536732,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285536965,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285546727,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285546960,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285547446,00000545,false,Rx,0,8,14,00,3F,70,9F,01,8A,37,
4285547624,00000333,false,Rx,0,4,04,30,29,07,00,00,00,00,
4285547820,000002B2,false,Rx,0,5,C8,00,00,05,78,00,00,00,
4285548058,000003A1,false,Rx,0,8,09,62,78,9D,08,2C,12,5A,
4285548297,00000321,false,Rx,0,8,2C,B6,A8,7F,02,7F,00,00,
4285548535,0000025D,false,Rx,0,8,D9,8C,01,B5,4A,C1,0A,E0,
4285548713,0000023D,false,Rx,0,4,0A,40,FF,00,00,00,00,00,
4285548961,0000021D,false,Rx,0,8,2D,20,00,20,80,00,60,10,
4285549199,00000232,false,Rx,0,8,0A,02,D5,09,CB,04,00,00,
4285549407,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
4285549646,00000212,false,Rx,0,8,B9,1C,94,AD,C3,15,06,63,
4285556732,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285556975,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285566726,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285566969,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285576720,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285576964,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285586733,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285586976,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285596727,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285596970,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285597208,00000545,false,Rx,0,8,03,19,64,32,19,00,90,A5,
4285606724,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285606967,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285616726,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285616969,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285626732,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285626965,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285636727,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285636970,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285646721,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285646964,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285647203,00000545,false,Rx,0,8,14,00,3F,70,9F,01,AA,57,
4285647380,00000333,false,Rx,0,4,04,30,29,07,00,00,00,00,
4285647577,000002B2,false,Rx,0,5,C8,00,00,05,78,00,00,00,
4285647815,000003A1,false,Rx,0,8,09,62,78,9D,08,2C,12,5A,
4285648054,00000321,false,Rx,0,8,2C,B6,A8,7F,02,7F,00,00,
4285648292,0000025D,false,Rx,0,8,D9,8C,01,B5,4A,C1,0A,E0,
4285648469,0000023D,false,Rx,0,4,0A,40,FF,00,00,00,00,00,
4285648718,0000021D,false,Rx,0,8,2D,20,00,20,80,00,60,10,
4285648959,00000232,false,Rx,0,8,0A,02,D5,09,CB,04,00,00,
4285649166,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
4285649404,00000212,false,Rx,0,8,B9,1C,94,AD,C3,15,06,63,
4285656725,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285656968,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285666727,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285666970,000003B2,false,Rx,0,8,5D,0F,F9,FF,00,CB,B6,04,
4285676721,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4285676964,000003B2,false,Rx,0,8,5E,0F,F9,FF,00,CB,B6,04,
4285686727,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
