Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4362730132,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362730375,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362740124,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362740367,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362750116,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362750370,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362760182,00000545,false,Rx,0,8,03,19,64,32,19,00,30,45,
4362760364,00000333,false,Rx,0,4,04,30,29,07,00,00,00,00,
4362760572,000002B2,false,Rx,0,5,00,00,00,05,78,00,00,00,
4362760811,000003A1,false,Rx,0,8,09,62,78,9D,08,2C,12,5A,
4362761070,00000321,false,Rx,0,8,2C,B6,A8,7F,02,7F,00,00,
4362761318,0000025D,false,Rx,0,8,D9,8C,01,B5,4A,C1,0A,E0,
4362761496,0000023D,false,Rx,0,4,0A,40,FF,0F,00,00,00,00,
4362761755,0000021D,false,Rx,0,8,2D,7E,00,20,80,00,60,10,
4362762004,00000232,false,Rx,0,8,0A,02,D5,09,CB,04,00,00,
4362762241,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
4362762472,00000212,false,Rx,0,8,B9,1C,94,AD,C3,15,06,63,
4362762659,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362762906,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362770126,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362770369,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362780117,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362780360,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362790120,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362790374,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362800122,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362800366,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362800863,00000504,false,Rx,0,8,00,1B,05,03,00,01,00,01,
4362810121,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362810364,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362810614,00000545,false,Rx,0,8,14,00,3F,70,9F,01,4A,F7,
4362820127,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362820360,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362830120,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362830363,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362840122,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362840355,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362850127,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362850370,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362860121,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362860364,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362860593,00000545,false,Rx,0,8,03,19,64,32,19,00,50,65,
4362860770,00000333,false,Rx,0,4,04,30,29,07,00,00,00,00,
4362860967,000002B2,false,Rx,0,5,00,00,00,05,78,00,00,00,
4362861194,000003A1,false,Rx,0,8,09,62,78,9D,08,2C,12,5A,
4362861445,00000321,false,Rx,0,8,2C,B6,A8,7F,02,7F,00,00,
4362861683,0000025D,false,Rx,0,8,D9,8C,01,B5,4A,C1,0A,E0,
4362861849,0000023D,false,Rx,0,4,0A,40,FF,0F,00,00,00,00,
4362862097,0000021D,false,Rx,0,8,2D,7E,00,20,80,00,60,10,
4362862338,00000232,false,Rx,0,8,0A,02,D5,09,CB,04,00,00,
4362862557,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
4362862784,00000212,false,Rx,0,8,B9,1C,94,AD,C3,15,06,63,
4362870114,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362870358,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362880127,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362880360,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362890121,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362890364,000003B2,false,Rx,0,8,E3,5D,FB,FF,0C,66,BB,06,
4362900114,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
4362900358,000003B2,false,Rx,0,8,E5,0D,EB,FF,0C,66,BB,11,
4362910127,0000022A,false,Rx,0,4,00,00,70,17,00,00,00,00,
