Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
47504233,00000232,false,Rx,0,8,00,00,02,00,00,00,00,00,
47504476,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
47504712,00000172,false,Rx,0,8,00,2A,7E,75,2D,80,2D,80,
47504938,00000401,false,Rx,0,8,00,2A,B8,88,B8,88,B8,88,
47505173,00000712,false,Rx,0,8,00,2A,C4,09,C4,09,C4,09,
47513913,0000070A,false,Rx,0,8,98,B8,01,00,00,00,00,00,
47514164,00000232,false,Rx,0,8,00,00,01,00,00,00,00,00,
47514409,00000152,false,Rx,0,8,01,00,00,00,00,00,00,00,
47514635,00000172,false,Rx,0,8,01,2A,DB,8A,2D,80,DB,8A,
47514871,00000401,false,Rx,0,8,01,2A,B8,88,B8,88,B8,88,
47515105,0000070A,false,Rx,0,8,B8,B8,01,00,04,00,06,00,
47515351,0000012A,false,Rx,0,8,00,00,D0,07,D0,07,D0,07,
47515586,0000070A,false,Rx,0,8,A4,7E,02,00,00,00,00,00,
47515822,00000712,false,Rx,0,8,01,2A,C4,09,C4,09,C4,09,
47516058,0000070A,false,Rx,0,8,D8,56,02,00,10,00,F4,8C,
47516303,0000070A,false,Rx,0,8,34,57,02,00,0F,00,A3,AD,
47516548,0000070A,false,Rx,0,8,48,57,02,00,00,00,A9,63,
47516803,0000070A,false,Rx,0,8,A4,7E,02,00,00,00,00,00,
47517069,0000070A,false,Rx,0,8,98,BA,01,00,00,00,00,00,
47517323,0000070A,false,Rx,0,8,EC,99,01,00,00,00,C9,04,
47518182,0000012A,false,Rx,0,8,01,00,D0,07,D0,07,D0,07,
47521177,0000012A,false,Rx,0,8,02,00,D0,07,D0,07,D0,07,
47523179,0000012A,false,Rx,0,8,03,00,D0,07,D0,07,D0,07,
47524129,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47524373,00000152,false,Rx,0,8,02,00,00,00,00,00,00,00,
47524608,00000172,false,Rx,0,8,02,0A,7E,75,2D,80,00,00,
47524823,0000020A,false,Rx,0,6,C0,00,00,00,00,00,00,00,
47525077,0000014A,false,Rx,0,8,00,00,00,00,00,00,00,00,
47525241,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
47525495,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
47525720,00000401,false,Rx,0,8,02,2A,B8,88,B8,88,B8,88,
47525965,0000050A,false,Rx,0,8,26,80,00,00,00,00,00,00,
47526203,0000070A,false,Rx,0,8,68,4C,02,00,1C,00,01,00,
47526447,0000012A,false,Rx,0,8,04,00,D0,07,D0,07,D0,07,
47526681,0000070A,false,Rx,0,8,60,AF,02,00,26,00,00,00,
47526917,00000712,false,Rx,0,8,02,2A,C4,09,C4,09,C4,09,
47527161,0000070A,false,Rx,0,8,FC,E8,02,00,00,00,00,00,
47527416,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47527671,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47527928,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47528183,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47529096,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47529341,0000012A,false,Rx,0,8,05,00,D0,07,D0,07,D0,07,
47530113,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47531097,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47532101,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47532336,0000012A,false,Rx,0,8,06,00,D0,07,D0,07,D0,07,
47533098,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47534132,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
47534386,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
47534612,00000172,false,Rx,0,8,00,2A,7E,75,2D,80,2D,80,
47534827,0000020A,false,Rx,0,6,C0,00,00,00,00,00,00,00,
47535070,0000012A,false,Rx,0,8,07,00,D0,07,D0,07,D0,07,
47535234,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
47535468,00000401,false,Rx,0,8,03,2A,B8,88,B8,88,B8,88,
47535713,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47535938,00000712,false,Rx,0,8,03,2A,C4,09,C4,09,C4,09,
47536204,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47536438,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47537098,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47537333,0000012A,false,Rx,0,8,08,00,D0,07,D0,07,D0,07,
47538094,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47539103,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47540097,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47540340,0000012A,false,Rx,0,8,09,00,D0,07,D0,07,D0,07,
47541101,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47542095,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47543100,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47543334,0000012A,false,Rx,0,8,0A,00,D0,07,D0,07,D0,07,
47544126,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47544371,00000152,false,Rx,0,8,01,00,00,00,00,00,00,00,
47544606,00000172,false,Rx,0,8,01,2A,DB,8A,2D,80,DB,8A,
47544811,0000020A,false,Rx,0,6,C0,00,00,00,00,00,00,00,
47545065,0000014A,false,Rx,0,8,01,00,00,00,00,00,00,00,
47545238,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
47545483,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
47545707,00000401,false,Rx,0,8,04,2A,B8,88,B8,88,B8,88,
47545952,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47546188,00000712,false,Rx,0,8,04,2A,C4,09,C4,09,C4,09,
47546424,0000012A,false,Rx,0,8,0B,00,D0,07,D0,07,D0,07,
47546659,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47547117,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47548101,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47548337,0000012A,false,Rx,0,8,0C,00,D0,07,D0,07,D0,07,
47549099,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47550094,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47551098,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47551332,0000012A,false,Rx,0,8,0D,00,D0,07,D0,07,D0,07,
47552094,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47553099,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47554133,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
47554386,00000152,false,Rx,0,8,02,00,00,00,00,00,00,00,
47554611,00000172,false,Rx,0,8,02,0A,7E,75,2D,80,00,00,
47554826,0000020A,false,Rx,0,6,C0,00,00,00,00,00,00,00,
47555070,0000012A,false,Rx,0,8,0E,00,D0,07,D0,07,D0,07,
47555316,0000014A,false,Rx,0,8,02,00,00,00,00,00,FF,7F,
47555489,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
47555712,00000401,false,Rx,0,8,05,2A,B8,88,B8,88,B8,88,
47555958,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47556193,00000712,false,Rx,0,8,05,2A,C4,09,00,00,00,00,
47556430,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47556684,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47557112,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47557347,0000012A,false,Rx,0,8,0F,00,D0,07,D0,07,D0,07,
47558098,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47559096,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47559342,0000012A,false,Rx,0,8,10,00,D0,07,D0,07,D0,07,
47560093,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47561097,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47562101,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47562336,0000012A,false,Rx,0,8,11,00,D0,07,D0,07,D0,07,
47563098,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
47564091,0000070A,false,Rx,0,8,90,06,01,00,00,00,01,00,
47564336,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
47564571,00000172,false,Rx,0,8,00,2A,7E,75,2D,80,2D,80,
47564786,0000020A,false,Rx,0,6,C9,10,01,00,00,00,00,00,
47564960,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
