Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
119101792,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119102028,0000012A,false,Rx,0,8,09,00,D0,07,D0,07,D0,07,
119102799,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119103792,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119105826,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119106020,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
119106264,0000014A,false,Rx,0,8,01,00,FF,7F,FF,7F,FF,7F,
119111793,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119112794,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119113029,0000012A,false,Rx,0,8,0D,00,D0,07,D0,07,D0,07,
119115824,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119120793,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119121034,0000012A,false,Rx,0,8,10,00,D0,07,D0,07,D0,07,
119121794,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119123789,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119124024,0000012A,false,Rx,0,8,11,00,D0,07,D0,07,D0,07,
119124795,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119125820,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119126015,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
119126188,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
119126432,00000232,false,Rx,0,8,5B,00,00,00,00,00,00,00,
119126687,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
119128788,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119129789,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119130024,0000012A,false,Rx,0,8,13,00,D0,07,D0,07,D0,07,
119130794,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119134787,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119135030,0000012A,false,Rx,0,8,15,00,D0,07,D0,07,D0,07,
119135820,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119136015,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
119138799,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119139790,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119142795,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119143794,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119144030,0000012A,false,Rx,0,8,18,00,D0,07,D0,07,D0,07,
119144790,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119148785,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119149027,0000012A,false,Rx,0,8,1A,00,D0,07,D0,07,D0,07,
119149787,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119151791,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119152796,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119153788,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119158800,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119161791,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119162792,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119163027,0000012A,false,Rx,0,8,1F,00,D0,07,D0,07,D0,07,
119165823,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119170791,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119171032,0000012A,false,Rx,0,8,22,00,00,00,00,00,00,00,
119171792,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119172787,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119174793,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119175824,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119176019,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
119176192,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
119176436,00000232,false,Rx,0,8,5B,00,00,00,00,00,00,00,
119176681,00000152,false,Rx,0,8,02,00,00,00,00,00,00,00,
119176919,0000012A,false,Rx,0,8,00,00,D0,07,D0,07,D0,07,
119177165,00000172,false,Rx,0,8,02,00,D0,6A,D0,6A,00,00,
119177400,00000401,false,Rx,0,8,02,15,2E,00,2E,00,2E,00,
119180793,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119181187,0000074A,false,Rx,0,8,02,00,00,00,00,00,00,00,
119181300,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
119181451,0000026A,false,Rx,0,3,00,00,00,00,00,00,00,00,
119181664,00000682,false,Rx,0,6,00,4C,45,01,04,06,00,00,
119181899,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119184789,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119185032,0000012A,false,Rx,0,8,03,00,D0,07,D0,07,D0,07,
119185822,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119186017,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
119186261,0000014A,false,Rx,0,8,00,00,FF,7F,FF,7F,FF,7F,
119186517,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
119188790,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119189790,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119190794,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119191027,0000012A,false,Rx,0,8,05,00,D0,07,D0,07,D0,07,
119193788,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119194023,0000012A,false,Rx,0,8,06,00,D0,07,D0,07,D0,07,
119194794,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119195819,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119198784,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119199036,0000012A,false,Rx,0,8,08,00,D0,07,D0,07,D0,07,
119199786,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119202793,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119203793,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119204786,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
119205033,0000012A,false,Rx,0,8,0A,00,D0,07,D0,07,D0,07,
119211788,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
