Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3443038,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
3604057,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
3874038,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4074030,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4693997,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
5093978,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
5116950,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
5237936,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6113920,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6117888,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6243911,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6373907,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6400876,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6413898,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6543895,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
6799848,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
7033862,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
7943812,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
8003690,00000272,false,Rx,0,7,00,00,00,00,00,00,00,00,
8583786,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
8633772,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
8822736,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
9643723,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
9787684,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
9913705,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
10487645,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
10521648,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
10750625,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11043646,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11086610,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11137607,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11249599,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11252599,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11312597,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11321602,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11598583,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11661580,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11782575,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11913590,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
11988566,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
12186550,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
12227546,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
12603090,00000792,false,Rx,0,3,00,00,00,00,00,00,00,00,
12603574,00000272,false,Rx,0,7,00,00,00,00,00,00,00,00,
12836518,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
12913539,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
12927508,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
13172499,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
13510477,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
13743489,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
14793432,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
15101385,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
15313406,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
15366678,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
