Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
146890972,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146891966,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146892950,00000232,false,Rx,1,8,5B,00,00,00,00,00,00,00,
146893197,0000012A,false,Rx,1,8,1F,00,D0,07,D0,07,D0,07,
146893441,00000152,false,Rx,1,8,02,00,00,00,00,00,00,00,
146893675,00000172,false,Rx,1,8,02,00,D0,6A,D0,6A,00,00,
146893920,00000401,false,Rx,1,8,0E,00,2D,00,2D,00,2D,00,
146894155,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146894390,00000712,false,Rx,1,8,02,00,C4,09,C4,09,C4,09,
146894634,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146895010,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146895993,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146896198,0000020A,false,Rx,1,6,C9,11,09,12,42,00,00,00,
146896443,0000012A,false,Rx,1,8,20,00,00,00,00,00,00,00,
146896688,0000014A,false,Rx,1,8,05,00,00,00,00,00,00,00,
146896861,0000022A,false,Rx,1,4,00,00,08,00,00,00,00,00,
146897102,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146897964,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146898524,0000076C,false,Rx,1,8,78,00,00,5E,A0,0D,00,00,
146898970,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146899218,0000012A,false,Rx,1,8,21,00,00,00,00,00,00,00,
146899968,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146900963,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146901209,0000012A,false,Rx,1,8,22,00,00,00,00,00,00,00,
146901969,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146902963,00000232,false,Rx,1,8,5B,00,00,00,00,00,00,00,
146903210,00000152,false,Rx,1,8,00,00,00,00,00,00,00,00,
146903444,00000172,false,Rx,1,8,00,01,D0,6A,D0,6A,D0,6A,
146903688,00000401,false,Rx,1,8,0F,00,2D,00,2D,00,2D,00,
146903934,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146904179,0000012A,false,Rx,1,8,23,00,00,00,00,00,00,00,
146904403,000003D2,false,Rx,1,8,65,B3,02,00,AD,2F,03,00,
146904648,000003F2,false,Rx,1,8,02,18,77,00,00,00,00,00,
146904893,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146905118,00000712,false,Rx,1,8,03,00,C4,09,C4,09,C4,09,
146905365,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146906004,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146906198,0000020A,false,Rx,1,6,C9,11,09,12,42,00,00,00,
146906373,0000022A,false,Rx,1,4,00,00,08,00,00,00,00,00,
146906971,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146907203,0000012A,false,Rx,1,8,00,00,D0,07,D0,07,D0,07,
146907963,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146908523,0000076C,false,Rx,1,8,79,00,00,00,00,00,00,00,
146908969,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146909965,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146910201,0000012A,false,Rx,1,8,01,00,D0,07,D0,07,D0,07,
146910972,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146911370,0000074A,false,Rx,1,8,07,00,00,00,00,00,00,00,
146911483,0000024A,false,Rx,1,1,07,00,00,00,00,00,00,00,
146911636,0000026A,false,Rx,1,3,00,00,00,00,00,00,00,00,
146911849,00000682,false,Rx,1,6,00,44,45,01,04,06,00,00,
146912082,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146912338,0000076A,false,Rx,1,8,00,00,00,00,00,00,00,00,
146912573,000007AA,false,Rx,1,8,06,BF,20,01,80,33,F3,00,
146912807,0000078A,false,Rx,1,8,D2,01,A7,12,60,00,00,00,
146913051,00000232,false,Rx,1,8,5B,00,00,00,00,00,00,00,
146913289,0000012A,false,Rx,1,8,02,00,D0,07,D0,07,D0,07,
146913534,00000152,false,Rx,1,8,01,00,00,00,00,00,00,00,
146913768,00000172,false,Rx,1,8,01,00,D0,6A,D0,6A,D0,6A,
146914013,00000401,false,Rx,1,8,10,00,2D,00,2D,00,2D,00,
146914259,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146914493,000003AA,false,Rx,1,8,00,40,18,09,20,00,00,00,
146914738,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146914973,00000712,false,Rx,1,8,04,00,C4,09,C4,09,C4,09,
146915229,0000012A,false,Rx,1,8,03,00,D0,07,D0,07,D0,07,
146915444,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146916001,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146916197,0000020A,false,Rx,1,6,C9,11,09,12,42,00,00,00,
146916441,0000014A,false,Rx,1,8,00,00,FF,7F,FF,7F,FF,7F,
146916615,0000022A,false,Rx,1,4,00,00,08,00,00,00,00,00,
146916970,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
146917972,0000070A,false,Rx,1,8,F4,D0,02,00,0A,00,00,00,
