Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
197780283,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
132713370,00000112,false,Rx,0,8,00,00,00,00,00,00,59,07,
153298570,00000682,false,Rx,0,6,00,44,45,01,04,06,00,00,
195595686,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
196395531,0000074A,false,Rx,0,8,05,00,00,00,00,00,00,00,
159715725,00000432,false,Rx,0,2,0C,00,00,00,00,00,00,00,
198011966,00000172,false,Rx,0,8,02,00,D0,6A,D0,6A,00,00,
187997073,0000076A,false,Rx,0,8,00,00,00,00,00,00,00,00,
188097049,000007AA,false,Rx,0,8,92,00,FD,FF,03,00,21,00,
164514479,000002B2,false,Rx,0,3,00,00,00,00,00,00,00,00,
182397897,0000078A,false,Rx,0,8,DA,01,4C,1D,40,00,43,05,
185214260,000003B2,false,Rx,0,8,2D,00,10,27,00,00,00,00,
181996586,0000026A,false,Rx,0,3,00,00,00,00,00,00,00,00,
191423272,00000712,false,Rx,0,8,00,00,C4,09,C4,09,C4,09,
198580234,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
198790232,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
200500137,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
200710123,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
200731879,00000172,false,Rx,0,8,01,00,D0,6A,D0,6A,D0,6A,
200813765,000003B2,false,Rx,0,8,2B,00,10,27,00,00,00,00,
201410080,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
202850002,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
203595135,0000074A,false,Rx,0,8,06,00,00,00,00,00,00,00,
203595254,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
203781758,00000172,false,Rx,0,8,00,01,D0,6A,D0,6A,D0,6A,
203969948,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
204395092,0000074A,false,Rx,0,8,05,00,00,00,00,00,00,00,
204395202,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
204989896,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
205095060,0000076A,false,Rx,0,8,00,00,00,00,00,00,00,00,
206219819,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
206699815,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
207013890,00000432,false,Rx,0,2,1E,00,00,00,00,00,00,00,
207239760,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
207262314,00000712,false,Rx,0,8,00,00,C4,09,C4,09,C4,09,
207449754,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
208094899,0000076A,false,Rx,0,8,00,00,00,00,00,00,00,00,
209096330,0000078A,false,Rx,0,8,DA,01,4C,1D,10,00,01,0D,
209599636,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
209613533,00000432,false,Rx,0,2,12,00,00,00,00,00,00,00,
211049551,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
211749519,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
212179495,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
212713035,000002B2,false,Rx,0,3,00,00,00,00,00,00,00,00,
213739413,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
214979346,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
215262597,00000712,false,Rx,0,8,02,00,C4,09,C4,09,C4,09,
215409321,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
216539259,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
216759240,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
217151456,00000172,false,Rx,0,8,02,00,D0,6A,D0,6A,00,00,
217679191,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
217789198,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
218109184,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
218562473,00000712,false,Rx,0,8,02,00,C4,09,C4,09,C4,09,
218695391,0000076A,false,Rx,0,8,01,D0,07,00,D0,07,00,00,
218795387,0000076A,false,Rx,0,8,02,D0,07,00,00,00,00,00,
219249105,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
219294279,0000074A,false,Rx,0,8,04,00,00,00,00,00,00,00,
219359098,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
219513196,00000432,false,Rx,0,2,18,00,00,00,00,00,00,00,
220389054,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
220499044,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
220562380,00000712,false,Rx,0,8,04,00,C4,09,C4,09,C4,09,
221295257,0000076A,false,Rx,0,8,00,00,00,00,00,00,00,00,
221528985,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
221638976,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
221794143,0000074A,false,Rx,0,8,00,00,00,00,00,00,00,00,
222068956,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
222178947,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
222394113,0000074A,false,Rx,0,8,05,00,00,00,00,00,00,00,
222394222,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
222462240,00000712,false,Rx,0,8,02,00,C4,09,C4,09,C4,09,
223195139,0000076A,false,Rx,0,8,01,D0,07,00,D0,07,00,00,
223694040,0000074A,false,Rx,0,8,07,00,00,00,00,00,00,00,
223748866,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
223821336,00000172,false,Rx,0,8,00,01,D0,6A,D0,6A,D0,6A,
223968848,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
224294007,0000074A,false,Rx,0,8,04,00,00,00,00,00,00,00,
224294126,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
225095040,000007AA,false,Rx,0,8,82,00,00,00,05,00,21,00,
225593939,0000074A,false,Rx,0,8,06,00,00,00,00,00,00,00,
225594048,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
225868751,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
226518715,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
226628713,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
227695407,0000078A,false,Rx,0,8,DA,01,4C,1D,70,00,A6,04,
229594797,0000076A,false,Rx,0,8,02,D0,07,00,00,00,00,00,
229696102,000003AA,false,Rx,0,8,00,40,18,09,20,00,00,00,
230812083,000002B2,false,Rx,0,3,00,00,00,00,00,00,00,00,
230930668,00000172,false,Rx,0,8,00,01,D0,6A,D0,6A,D0,6A,
231494184,00000682,false,Rx,0,6,00,44,45,01,04,06,00,00,
232378405,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
232818363,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
232928361,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
233294600,0000076A,false,Rx,0,8,00,00,00,00,00,00,00,00,
233578343,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
233688322,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
233798314,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
233908311,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
234018302,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
234778255,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
234888256,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
235593390,0000074A,false,Rx,0,8,06,00,00,00,00,00,00,00,
237438134,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
237988090,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
238294322,0000076A,false,Rx,0,8,02,D0,07,00,00,00,00,00,
238318065,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
238693225,0000074A,false,Rx,0,8,07,00,00,00,00,00,00,00,
238693335,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
239293716,00000682,false,Rx,0,6,00,44,45,01,04,06,00,00,
239298032,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
239394255,0000076A,false,Rx,0,8,01,D0,07,00,D0,07,00,00,
240695496,000003AA,false,Rx,0,8,00,40,18,09,20,00,00,00,
240993090,0000074A,false,Rx,0,8,02,00,00,00,00,00,00,00,
240993209,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
240993362,0000026A,false,Rx,0,3,00,00,00,00,00,00,00,00,
241194667,0000078A,false,Rx,0,8,DA,01,4C,1D,70,00,A6,04,
242093033,0000076A,false,Rx,0,8,01,D0,07,00,D0,07,00,00,
242193332,0000026A,false,Rx,0,3,00,00,00,00,00,00,00,00,
242490174,00000172,false,Rx,0,8,01,00,D0,6A,D0,6A,D0,6A,
242807842,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
243192970,0000074A,false,Rx,0,8,03,00,00,00,00,00,00,00,
243467788,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
243590110,00000172,false,Rx,0,8,00,01,D0,6A,D0,6A,D0,6A,
244017754,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
244310075,00000172,false,Rx,0,8,00,01,D0,6A,D0,6A,D0,6A,
244347752,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
244457735,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
244567727,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
244787716,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
244897711,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
246194971,0000078A,false,Rx,0,8,DA,01,4C,1D,30,00,74,04,
246694116,000007AA,false,Rx,0,8,06,BF,20,01,80,33,F3,00,
248307523,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
248417519,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
248527512,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
