Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
85999083,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
85998821,0000012A,false,Rx,0,8,0D,00,D0,07,D0,07,D0,07,
85499567,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
82600381,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
84972236,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
84750146,0000014A,false,Rx,0,8,05,00,00,00,00,00,00,00,
80065033,0000074A,false,Rx,0,8,01,00,00,00,00,00,00,00,
84764915,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
80065304,0000026A,false,Rx,0,3,00,00,00,00,00,00,00,00,
64366411,00000682,false,Rx,0,6,00,44,45,01,04,06,00,00,
18268385,0000076A,false,Rx,0,8,02,D0,07,00,00,00,00,00,
18269347,000007AA,false,Rx,0,8,82,00,00,00,03,00,21,00,
64367435,0000078A,false,Rx,0,8,DA,01,1A,1D,40,00,45,05,
85461975,00000232,false,Rx,0,8,5B,00,00,00,00,00,00,00,
84513048,00000172,false,Rx,0,8,02,00,D0,6A,D0,6A,00,00,
85656242,00000401,false,Rx,0,8,14,00,2D,00,2D,00,2D,00,
80353601,00000712,false,Rx,0,8,00,00,C4,09,C4,09,C4,09,
78381972,00000112,false,Rx,0,8,00,00,00,00,00,00,59,07,
80883952,00000272,false,Rx,0,7,00,00,00,00,00,00,00,00,
6846174,000003D2,false,Rx,0,8,65,B3,02,00,AD,2F,03,00,
75984623,000002B2,false,Rx,0,3,00,00,00,00,00,00,00,00,
74484751,00000392,false,Rx,0,8,00,00,72,0D,F4,BF,00,04,
74584743,000003B2,false,Rx,0,8,2E,00,10,27,00,00,00,00,
74287519,00000432,false,Rx,0,2,1C,00,00,00,00,00,00,00,
74585799,00000792,false,Rx,0,3,00,00,00,00,00,00,00,00,
86016314,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86020742,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86034314,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86048314,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86088314,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86106312,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86143639,0000012A,false,Rx,0,8,1D,00,D0,07,D0,07,D0,07,
86143899,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86179329,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86201927,00000232,false,Rx,0,8,5B,00,00,00,00,00,00,00,
86220781,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86225292,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86229536,0000012A,false,Rx,0,8,19,00,D0,07,D0,07,D0,07,
86229747,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86251431,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86297303,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86306715,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86311277,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86328296,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86332898,00000232,false,Rx,0,8,5B,00,00,00,00,00,00,00,
86350968,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86355293,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86364911,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
86369164,0000012A,false,Rx,0,8,03,00,D0,07,D0,07,D0,07,
86374317,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86374567,0000012A,false,Rx,0,8,05,00,D0,07,D0,07,D0,07,
86414288,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86428289,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86446290,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86446530,0000012A,false,Rx,0,8,1F,00,D0,07,D0,07,D0,07,
86455861,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86460412,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86464575,0000012A,false,Rx,0,8,01,00,D0,07,D0,07,D0,07,
86468210,0000024A,false,Rx,0,1,07,00,00,00,00,00,00,00,
86505303,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86541842,0000012A,false,Rx,0,8,1D,00,D0,07,D0,07,D0,07,
86546048,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86551260,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86558135,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86591281,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86600756,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86605277,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86632971,00000172,false,Rx,0,8,01,00,D0,6A,D0,6A,D0,6A,
86646696,0000012A,false,Rx,0,8,1F,00,D0,07,D0,07,D0,07,
86651258,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86695283,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86728279,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86750753,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86755171,0000012A,false,Rx,0,8,22,00,00,00,00,00,00,00,
86768195,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86786417,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86804273,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86814277,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86846264,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
86850500,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
86855825,0000012A,false,Rx,0,8,22,00,00,00,00,00,00,00,
86881899,00000232,false,Rx,0,8,5B,00,00,00,00,00,00,00,
86964024,0000012A,false,Rx,0,8,01,00,D0,07,D0,07,D0,07,
86991258,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
87009286,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
87009486,0000020A,false,Rx,0,6,C9,11,09,12,42,00,00,00,
87041253,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
87041495,0000012A,false,Rx,0,8,1D,00,D0,07,D0,07,D0,07,
87055260,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
87062135,00000152,false,Rx,0,8,02,00,00,00,00,00,00,00,
87064880,0000026A,false,Rx,0,3,00,00,00,00,00,00,00,00,
87090676,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
87114261,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
