Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
938184789,00000424,false,Rx,0,8,2B,80,2E,0D,01,BC,0B,A0,
963135606,00000424,false,Rx,0,8,23,80,CA,02,00,00,00,A0,
963319868,00000424,false,Rx,0,8,23,80,CC,02,00,00,00,A0,
963519787,00000424,false,Rx,0,8,23,80,CC,02,00,00,00,A0,
963530643,00000424,false,Rx,0,8,2B,80,2E,0D,01,00,00,A0,
965737307,00000424,false,Rx,0,8,23,80,CB,02,00,00,00,A0,
965908441,00000424,false,Rx,0,8,23,80,CB,02,00,00,00,A0,
966080538,00000424,false,Rx,0,8,23,80,C8,02,00,00,00,A0,
966091525,00000424,false,Rx,0,8,2B,80,2E,0D,01,BC,0B,A0,
968377001,00000424,false,Rx,0,8,23,80,CB,02,00,00,00,A0,
968515248,00000424,false,Rx,0,8,23,80,CA,02,00,00,00,A0,
968992926,00000424,false,Rx,0,8,23,80,C9,02,00,00,00,A0,
969004175,00000424,false,Rx,0,8,2B,80,2E,0D,01,BC,0B,A0,
