Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4301448771,00000424,false,Rx,0,8,23,80,C0,02,00,00,00,A0,
4313396376,00000424,false,Rx,0,8,23,80,C5,02,00,00,00,A0,
4313753432,00000424,false,Rx,0,8,23,80,CA,02,00,00,00,A0,
4313764585,00000424,false,Rx,0,8,2B,80,65,59,01,00,00,A0,
4316067061,00000424,false,Rx,0,8,15,80,01,00,00,00,00,00,
4318233805,00000424,false,Rx,0,8,23,80,BF,02,00,00,00,A0,
4318765005,00000424,false,Rx,0,8,23,80,C6,02,00,00,00,A0,
4319262687,00000424,false,Rx,0,8,23,80,C9,02,00,00,00,A0,
4319273945,00000424,false,Rx,0,8,2B,80,65,59,01,BC,0B,A0,
4329848443,00000424,false,Rx,0,8,23,80,C9,02,00,00,00,A0,
4330010707,00000424,false,Rx,0,8,23,80,CC,02,00,00,00,A0,
4330244648,00000424,false,Rx,0,8,23,80,CA,02,00,00,00,A0,
4330255667,00000424,false,Rx,0,8,2B,80,2D,09,01,00,00,A0,
4333805995,00000424,false,Rx,0,8,23,80,CB,02,00,00,00,A0,
4334059224,00000424,false,Rx,0,8,23,80,C9,02,00,00,00,A0,
4334176211,00000424,false,Rx,0,8,23,80,CA,02,00,00,00,A0,
4334187190,00000424,false,Rx,0,8,2B,80,2D,09,01,BC,0B,A0,
4401475339,00000424,false,Rx,0,8,23,80,CA,02,00,00,00,A0,
4401558326,00000424,false,Rx,0,8,23,80,CC,02,00,00,00,A0,
4401720094,00000424,false,Rx,0,8,23,80,C9,02,00,00,00,A0,
4401731292,00000424,false,Rx,0,8,2B,80,2D,0D,01,00,00,A0,
4421532996,00000424,false,Rx,0,8,23,80,C1,02,00,00,00,A0,
4421933660,00000424,false,Rx,0,8,23,80,C3,02,00,00,00,A0,
4422629579,00000424,false,Rx,0,8,23,80,BF,02,00,00,00,A0,
4422640849,00000424,false,Rx,0,8,2B,80,65,5D,01,BC,0B,A0,
