Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4334226587,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334226861,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334227140,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334227420,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334227699,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334227978,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334228258,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334228526,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334228804,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334229082,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334229321,00000172,false,Rx,0,8,00,2A,7E,75,2D,80,2D,80,
4334229570,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334229797,00000401,false,Rx,0,8,00,2A,B8,88,B8,88,B8,88,
4334230024,00000712,false,Rx,0,8,00,2A,C4,09,C4,09,C4,09,
4334232068,0000070A,false,Rx,0,8,98,B8,01,00,00,00,00,00,
4334232317,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334232565,00000152,false,Rx,0,8,01,00,00,00,00,00,00,00,
4334232793,00000172,false,Rx,0,8,01,2A,DB,8A,2D,80,DB,8A,
4334233020,00000401,false,Rx,0,8,01,2A,B8,88,B8,88,B8,88,
4334233258,0000070A,false,Rx,0,8,B8,B8,01,00,04,00,06,00,
4334233497,0000012A,false,Rx,0,8,00,00,D0,07,D0,07,D0,07,
4334233734,0000070A,false,Rx,0,8,A4,7E,02,00,00,00,00,00,
4334233972,00000712,false,Rx,0,8,01,2A,C4,09,C4,09,C4,09,
4334234200,0000070A,false,Rx,0,8,D8,56,02,00,10,00,F4,8C,
4334234459,0000070A,false,Rx,0,8,34,57,02,00,0F,00,A3,AD,
4334234718,0000070A,false,Rx,0,8,48,57,02,00,00,00,A9,63,
4334234956,0000070A,false,Rx,0,8,A4,7E,02,00,00,00,00,00,
4334235214,0000070A,false,Rx,0,8,98,BA,01,00,00,00,00,00,
4334235473,0000070A,false,Rx,0,8,EC,99,01,00,00,00,C9,04,
4334236328,0000012A,false,Rx,0,8,01,00,D0,07,D0,07,D0,07,
4334239329,0000012A,false,Rx,0,8,02,00,D0,07,D0,07,D0,07,
4334241332,0000012A,false,Rx,0,8,03,00,D0,07,D0,07,D0,07,
4334242275,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334242522,00000152,false,Rx,0,8,02,00,00,00,00,00,00,00,
4334242761,00000172,false,Rx,0,8,02,0A,7E,75,2D,80,00,00,
4334242978,0000020A,false,Rx,0,6,C0,00,00,00,00,00,00,00,
4334243225,0000014A,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334243397,0000022A,false,Rx,0,4,00,00,08,00,00,00,00,00,
4334243644,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334243871,00000401,false,Rx,0,8,02,2A,B8,88,B8,88,B8,88,
4334244120,0000050A,false,Rx,0,8,26,80,00,00,00,00,00,00,
4334244358,0000070A,false,Rx,0,8,68,4C,02,00,1C,00,01,00,
4334244596,0000012A,false,Rx,0,8,04,00,D0,07,D0,07,D0,07,
4334244833,0000070A,false,Rx,0,8,60,AF,02,00,26,00,00,00,
4334245072,00000712,false,Rx,0,8,02,2A,C4,09,C4,09,C4,09,
4334245310,0000070A,false,Rx,0,8,FC,E8,02,00,00,00,00,00,
4334245571,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334245820,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334246077,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334246336,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334247254,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334247485,0000012A,false,Rx,0,8,05,00,D0,07,D0,07,D0,07,
4334248248,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334249246,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334250246,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334250483,0000012A,false,Rx,0,8,06,00,D0,07,D0,07,D0,07,
4334251245,0000070A,false,Rx,0,8,F4,D0,02,00,0A,00,00,00,
4334252285,00000232,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334252533,00000152,false,Rx,0,8,00,00,00,00,00,00,00,00,
4334252771,00000172,false,Rx,0,8,00,2A,7E,75,2D,80,2D,80,
