Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
31231,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
130686,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
230695,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
330704,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
430713,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
530679,0000025D,false,Rx,0,8,24,08,04,CE,00,05,0B,80,
630689,0000025D,false,Rx,0,8,24,08,04,CE,00,05,0B,80,
730728,0000025D,false,Rx,0,8,24,08,04,CD,00,05,0B,80,
830694,0000025D,false,Rx,0,8,24,08,04,CB,00,05,0B,80,
930746,0000025D,false,Rx,0,8,24,08,04,CB,00,05,0B,80,
1031267,0000025D,false,Rx,0,8,24,08,04,CD,00,05,0B,80,
1130721,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
1230730,0000025D,false,Rx,0,8,24,08,04,D1,00,05,0B,80,
1330697,0000025D,false,Rx,0,8,24,08,04,D2,00,05,0B,80,
1430706,0000025D,false,Rx,0,8,24,08,04,D1,00,05,0B,80,
1530758,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
1630724,0000025D,false,Rx,0,8,24,08,04,CD,00,05,0B,80,
1730763,0000025D,false,Rx,0,8,24,08,04,CD,00,05,0B,80,
1830772,0000025D,false,Rx,0,8,24,08,04,CE,00,05,0B,80,
1931208,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2031217,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2130757,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2230510,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2330775,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2430742,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2530794,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2630547,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2730543,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2830552,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
2931756,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3032021,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3131518,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3230461,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3330470,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3431289,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3531171,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3630838,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3731176,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3831228,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
3930853,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
4031417,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
4130615,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
4230624,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
4330889,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
4430557,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
4530481,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
4630618,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
4730572,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
4830453,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
4930889,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5031282,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5130651,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5230404,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5330669,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5430422,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5530687,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5630440,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5730693,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5830446,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
5931308,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
6031275,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
6130687,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
6230482,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
6330705,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
6430458,0000025D,false,Rx,0,8,24,08,04,CF,00,05,0B,80,
6530595,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
6630732,0000025D,false,Rx,0,8,24,08,04,D0,00,05,0B,80,
