Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9767878,00000504,false,Rx,0,8,00,1B,04,01,00,01,00,01,
10468295,0000076C,false,Rx,0,8,01,0D,0D,20,20,24,24,00,
10470385,000002C4,false,Rx,0,8,46,25,41,00,00,00,00,7D,
10470649,00000224,false,Rx,0,8,00,00,00,00,00,00,10,08,
10472400,000002A4,false,Rx,0,8,00,04,20,00,6B,EE,F4,FF,
10472544,00000364,false,Rx,0,2,00,78,00,00,00,00,00,00,
10472808,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
10478291,0000076C,false,Rx,0,8,02,01,01,02,02,01,01,00,
10488281,0000076C,false,Rx,0,8,03,60,60,4A,4A,66,66,00,
10498312,0000076C,false,Rx,0,8,04,0C,0C,00,06,00,03,00,
10508392,0000076C,false,Rx,0,8,05,A6,64,36,3B,DC,2E,00,
10518281,0000076C,false,Rx,0,8,8A,11,C0,00,64,00,00,00,
10528280,0000076C,false,Rx,0,8,0B,11,00,D0,20,00,00,00,
10538282,0000076C,false,Rx,0,8,0C,00,00,00,40,20,40,00,
10548285,0000076C,false,Rx,0,8,0D,04,32,8F,BB,28,00,00,
10558396,0000076C,false,Rx,0,8,0E,E2,DB,38,97,02,00,00,
10568279,0000076C,false,Rx,0,8,94,16,20,00,64,00,00,00,
10570388,000002C4,false,Rx,0,8,07,00,00,04,00,00,00,00,
10570653,00000204,false,Rx,0,8,01,00,00,00,00,00,00,00,
10570867,00000264,false,Rx,0,6,32,00,00,00,E0,01,00,00,
10571357,00000224,false,Rx,0,8,00,04,00,00,00,00,10,08,
10578283,0000076C,false,Rx,0,8,15,00,00,D0,20,00,00,00,
10588282,0000076C,false,Rx,0,8,16,00,00,00,40,00,00,00,
10598293,0000076C,false,Rx,0,8,17,04,32,8F,BB,28,00,00,
10608394,0000076C,false,Rx,0,8,18,E0,DB,39,97,02,00,00,
10618280,0000076C,false,Rx,0,8,1E,1A,60,00,64,00,00,00,
10628279,0000076C,false,Rx,0,8,1F,01,00,D0,20,00,00,00,
10638284,0000076C,false,Rx,0,8,20,00,00,00,30,00,00,00,
10648276,0000076C,false,Rx,0,8,21,04,32,8F,BB,28,00,00,
