Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4298286990,00000504,false,Rx,0,8,00,1B,04,01,00,01,00,01,
4298987057,0000076C,false,Rx,0,8,01,09,09,20,20,0B,0B,00,
4298989173,000002C4,false,Rx,0,8,26,23,40,00,00,00,00,7D,
4298989427,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4298991063,000002A4,false,Rx,0,8,00,04,20,00,57,BE,F4,FF,
4298991208,00000364,false,Rx,0,2,00,78,00,00,00,00,00,00,
4298991466,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4298997056,0000076C,false,Rx,0,8,02,01,01,02,02,01,01,00,
4299007050,0000076C,false,Rx,0,8,03,60,60,4A,4A,66,66,00,
4299017072,0000076C,false,Rx,0,8,04,0C,0C,00,06,00,03,00,
4299027044,0000076C,false,Rx,0,8,05,A6,4C,36,3B,DC,2E,00,
4299037057,0000076C,false,Rx,0,8,8A,0F,C0,00,64,00,00,00,
4299047050,0000076C,false,Rx,0,8,0B,10,00,D0,20,00,00,00,
4299057062,0000076C,false,Rx,0,8,0C,00,00,00,40,20,40,00,
4299067044,0000076C,false,Rx,0,8,0D,04,32,8F,BB,28,00,00,
4299077047,0000076C,false,Rx,0,8,0E,E0,DB,39,97,02,00,00,
4299087050,0000076C,false,Rx,0,8,94,17,20,00,64,00,00,00,
4299089176,000002C4,false,Rx,0,8,07,00,00,04,00,00,00,00,
4299089431,00000204,false,Rx,0,8,01,00,00,00,00,00,00,00,
4299089649,00000264,false,Rx,0,6,31,00,00,00,E0,01,00,00,
4299089906,00000224,false,Rx,0,8,00,04,00,00,00,00,00,08,
4299097057,0000076C,false,Rx,0,8,15,00,00,D0,20,00,00,00,
4299105033,00000424,false,Rx,0,8,15,80,01,00,00,00,00,00,
4299107054,0000076C,false,Rx,0,8,16,00,00,00,40,00,00,00,
4299117047,0000076C,false,Rx,0,8,17,04,32,8F,BB,28,00,00,
4299127039,0000076C,false,Rx,0,8,18,E0,DB,39,97,02,00,00,
4299137052,0000076C,false,Rx,0,8,1E,1B,80,00,64,00,00,00,
4299147055,0000076C,false,Rx,0,8,1F,02,00,D0,20,00,00,00,
4299157049,0000076C,false,Rx,0,8,20,00,00,00,40,00,00,00,
4299167031,0000076C,false,Rx,0,8,21,04,32,8F,BB,28,00,00,
4299177044,0000076C,false,Rx,0,8,22,E0,DB,39,97,02,00,00,
4299187057,0000076C,false,Rx,0,8,33,00,00,00,00,00,20,84,
4299189172,000002C4,false,Rx,0,8,08,00,00,00,1C,00,00,00,
4299189428,00000204,false,Rx,0,8,01,00,00,00,00,00,00,00,
4299189645,00000264,false,Rx,0,6,3D,00,00,00,E0,01,00,00,
4299189902,00000224,false,Rx,0,8,00,04,00,00,00,00,00,08,
4299197043,0000076C,false,Rx,0,8,34,00,00,00,00,00,00,00,
4299207046,0000076C,false,Rx,0,8,35,2A,00,00,00,00,00,00,
4299217060,0000076C,false,Rx,0,8,64,00,00,41,30,46,0E,00,
4299227045,0000076C,false,Rx,0,8,66,00,00,00,00,00,00,00,
4299237038,0000076C,false,Rx,0,8,67,00,00,00,00,00,00,00,
4299247041,0000076C,false,Rx,0,8,68,00,00,00,00,00,00,00,
4299257036,0000076C,false,Rx,0,8,69,00,00,00,00,00,9D,FF,
4299267039,0000076C,false,Rx,0,8,6A,00,00,00,00,00,00,00,
